설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
클린하우스,대구광역시,남구,대구광역시 남구 이천로28길 42-16,대구광역시 남구 대명동 383-4,35.85385142,128.5998035,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 봉덕로11길 13,대구광역시 남구 봉덕동 705-32,35.84565736,128.5957994,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 중앙대로22길 100,대구광역시 남구 봉덕동 702-6,35.8424186,128.5959476,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 대명로30길 14,대구광역시 남구 대명동 916-2,35.8384918,128.5738239,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 큰골길 53,대구광역시 남구 대명동 2680-7,35.8372536,128.5790379,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 대명역6길 48,대구광역시 남구 대명동 1540,35.83269131,128.5640623,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 관문시장4길 53,대구광역시 남구 대명동 1180,35.83624135,128.560605,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 계명7길 18,대구광역시 남구 대명동 2255-1,35.85275091,128.5778762,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 명덕로20길 115,대구광역시 남구 대명동 642-46,35.85230083,128.5790561,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 두류공원로12길 25-48,대구광역시 남구 봉덕동 1067-121,35.84383615,128.5744916,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 두류공원로20길 19,대구광역시 남구 대명동 3043-34,35.84596976,128.5695016,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 봉덕로5길 20,대구광역시 남구 봉덕동 592-9,35.8461956,128.5933294,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 봉덕로6길35-63,대구광역시 남구 봉덕동 990-17,35.84323063,128.5922385,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 자유3길 54,대구광역시 남구 대명동 353-6,35.83876049,128.5819202,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
클린하우스,대구광역시,남구,대구광역시 남구 대명로21길 9,대구광역시 남구 대명동 1624-22,35.84009483,128.5691654,,재활용쓰레기,대구광역시 남구청,053-664-2723,2025-08-01,3440000,대구광역시 남구
